iter	Passed	Remaining
0	144	14317
1	145	7146
2	146	4750
3	147	3547
4	148	2825
5	149	2343
6	150	1999
7	151	1740
8	152	1539
9	153	1378
10	154	1246
11	154	1136
12	155	1042
13	156	962
14	157	891
15	157	829
16	158	774
17	159	725
18	159	681
19	160	641
20	161	606
21	161	573
22	162	543
23	162	516
24	163	490
25	164	467
26	164	445
27	165	425
28	166	406
29	166	389
30	167	373
31	168	357
32	169	343
33	169	329
34	170	316
35	171	304
36	171	292
37	172	281
38	173	270
39	173	260
40	174	251
41	175	241
42	175	233
43	176	224
44	176	216
45	177	208
46	178	201
47	178	193
48	179	186
49	180	180
50	180	173
51	181	167
52	182	161
53	183	155
54	183	150
55	184	144
56	185	139
57	185	134
58	186	129
59	187	124
60	187	120
61	188	115
62	189	111
63	189	106
64	190	102
65	191	98
66	191	94
67	192	90
68	193	86
69	193	83
70	194	79
71	194	75
72	195	72
73	196	69
74	197	65
75	197	62
76	198	59
77	199	56
78	199	53
79	200	50
80	200	47
81	201	44
82	202	41
83	202	38
84	203	35
85	204	33
86	204	30
87	205	28
88	206	25
89	206	22
90	207	20
91	208	18
92	208	15
93	209	13
94	210	11
95	210	8
96	211	6
97	212	4
98	212	2
99	213	0
